numero_conteneur,numero_plombage,bruit_fond_debit_nsvh,bruit_fond_cps,interieur_conteneur_debit_nsvh,interieur_conteneur_cps,exterieur_conteneur_debit_nsvh,exterieur_conteneur_cps,apres_plombage_conteneur_debit_nsvh,apres_plombage_conteneur_cps,dose_gamma_chargement_debit_nsvh,dose_gamma_chargement_cps,contamination
CT2526,PL716024,46.7,1.56,48.14,1.31,45.3,1.55,48.29,1.63,78.89,1.89,1
CT1264,PL879554,35.26,1.38,35.82,1.35,33.88,1.41,32.31,1.54,31.9,0.67,0
CT4169,PL108036,64.27,1.46,64.24,1.36,63.21,1.55,63.79,1.41,70.24,1.5,0
CT1709,PL431770,85.57,1.87,82.96,1.82,84.82,2.0,85.3,1.94,42.69,0.37,0
CT1703,PL713217,46.04,1.1,47.37,0.98,43.55,1.14,47.26,0.92,52.89,1.09,0
CT0599,PL750419,76.55,1.95,75.01,1.9,77.67,2.01,78.99,2.02,58.01,1.57,0
CT3163,PL941965,40.23,1.94,42.08,1.88,44.01,2.02,40.04,1.89,81.74,1.06,1
CT3746,PL603650,61.27,0.45,61.88,0.35,61.41,0.76,61.21,0.39,85.53,1.84,1
CT2488,PL381652,45.75,1.05,47.46,0.93,42.04,1.03,44.42,1.07,67.34,1.62,1
CT3886,PL720307,45.28,1.6,47.64,1.6,45.23,1.73,44.32,1.75,70.49,1.29,1
CT3975,PL702567,30.29,1.75,31.16,1.77,34.93,1.57,29.69,1.69,55.11,0.83,1
CT3823,PL853704,55.0,1.51,55.18,1.33,55.57,1.4,53.87,1.22,72.55,1.5,1
CT1962,PL823035,55.56,1.53,53.53,1.56,59.59,1.5,54.25,1.69,74.92,1.9,1
CT0716,PL554137,75.1,1.67,75.53,1.63,78.3,1.73,77.24,1.94,49.72,1.07,0
CT3290,PL673156,66.66,1.2,68.88,1.25,70.6,1.08,68.88,1.14,52.33,1.26,0
CT2783,PL727035,51.05,0.73,49.4,0.65,49.42,0.58,50.11,0.73,59.86,1.75,1
CT3648,PL388963,30.1,1.16,27.35,1.15,34.33,1.24,32.03,1.07,79.28,0.91,1
CT3152,PL438416,86.07,0.81,86.16,1.01,86.68,0.93,84.25,0.74,51.99,1.28,0
CT0842,PL924845,47.7,0.68,49.88,0.76,47.73,0.83,50.95,0.6,80.38,1.76,1
CT0674,PL643176,77.98,0.39,76.36,0.3,76.34,0.24,78.38,0.29,69.02,0.62,0
CT4398,PL243521,58.8,1.05,59.93,1.01,58.48,0.93,58.34,0.96,42.71,0.59,0
CT1796,PL311837,54.64,1.94,53.1,2.07,55.19,1.89,55.44,2.07,79.13,1.93,1
CT0453,PL276089,62.0,0.38,63.46,0.21,61.75,0.31,61.81,0.33,59.3,0.49,0
CT1881,PL782736,80.4,1.61,79.41,1.53,83.38,1.71,82.09,1.57,44.13,1.66,0
CT1657,PL517978,30.06,1.08,31.46,1.17,27.86,1.06,25.29,1.13,37.18,1.77,0
CT2888,PL117347,50.66,0.39,51.48,0.38,52.53,0.62,50.03,0.2,68.4,0.89,1
CT4509,PL491858,36.97,1.49,36.04,1.52,37.79,1.44,37.34,1.63,31.01,0.69,0
CT1403,PL134560,49.39,1.27,49.64,1.35,51.23,1.11,47.91,1.3,63.09,1.44,1
CT3786,PL578082,73.17,0.64,69.02,0.71,72.64,0.72,74.78,0.61,63.78,1.35,0
CT0002,PL771155,33.11,1.56,34.33,1.56,30.47,1.55,34.69,1.63,59.3,0.76,1
CT3986,PL967780,36.7,1.12,38.06,1.15,34.98,1.28,37.98,1.01,62.4,1.64,1
CT0370,PL909760,61.89,0.65,62.28,0.75,61.61,0.76,63.16,0.61,58.52,0.71,0
CT2934,PL721827,68.62,1.26,65.72,1.23,69.29,1.29,68.08,1.43,37.83,1.97,0
CT0326,PL786976,50.14,0.78,49.35,0.61,48.56,0.75,47.89,0.83,76.85,0.85,1
CT4083,PL839522,71.63,1.52,71.01,1.58,74.97,1.57,69.79,1.63,53.23,0.8,0
CT1296,PL511597,47.88,0.63,43.74,0.64,47.86,0.54,46.63,0.6,33.45,1.56,0
CT2347,PL722605,36.67,1.83,35.49,1.9,36.31,1.95,35.26,1.65,32.69,1.85,0
CT0670,PL323992,63.57,0.71,66.35,0.58,63.44,0.66,63.77,0.61,45.37,1.89,0
CT1038,PL314879,50.14,1.98,52.09,2.01,54.42,2.04,45.33,2.06,34.96,0.9,0
CT0181,PL835716,86.38,0.97,85.92,0.87,87.76,1.04,85.78,0.87,88.64,0.49,0
CT3850,PL805860,33.79,1.21,33.29,1.07,33.35,1.01,39.45,1.37,33.63,1.36,0
CT3006,PL325019,31.69,1.24,31.76,1.29,33.46,1.43,29.9,1.19,40.34,1.03,0
CT1967,PL526346,65.19,1.05,68.09,1.13,65.24,1.16,62.0,1.0,68.52,1.27,0
CT4002,PL365888,33.49,1.54,31.3,1.67,35.89,1.56,31.72,1.51,37.74,1.07,0
CT3832,PL417013,77.4,1.33,77.16,1.29,76.18,1.29,78.51,1.2,61.68,1.84,0
CT1158,PL564374,35.6,1.89,34.75,1.8,34.34,2.0,35.25,1.77,64.13,1.62,1
CT3554,PL642777,59.21,0.82,57.14,0.9,59.94,0.84,60.11,0.6,73.28,1.35,1
CT4458,PL942503,60.88,1.05,63.25,1.01,60.18,1.09,55.0,1.12,75.02,1.13,1
CT1929,PL705409,87.05,0.55,86.94,0.79,89.32,0.63,87.56,0.49,47.37,1.18,0
CT4670,PL811028,74.06,0.62,75.56,0.53,73.34,0.62,74.05,0.67,41.14,1.85,0
CT0107,PL633556,82.68,1.68,82.16,1.77,84.29,1.64,80.32,1.83,54.32,1.46,0
CT2599,PL303502,56.77,0.47,57.38,0.62,57.11,0.6,56.83,0.45,86.01,1.77,1
CT4866,PL445740,74.97,0.69,74.89,0.64,80.32,0.82,80.23,0.76,50.32,1.56,0
CT0194,PL471369,81.68,1.93,83.5,1.86,82.06,1.85,81.59,1.92,47.11,0.38,0
CT3145,PL352791,77.81,1.34,80.01,1.36,75.63,1.42,76.7,1.42,50.53,0.6,0
CT2341,PL688612,58.53,0.89,55.24,0.86,56.26,0.84,60.79,0.94,77.76,1.18,1
CT1099,PL971149,40.28,0.55,38.26,0.57,43.07,0.52,42.91,0.71,85.6,0.55,1
CT0078,PL922352,48.53,0.85,48.36,0.72,45.09,0.87,53.09,0.75,70.04,0.45,1
CT0299,PL314835,30.8,1.79,33.65,1.76,29.18,1.67,22.87,1.75,47.88,1.1,1
CT3332,PL389530,43.26,1.32,42.89,1.41,42.89,1.2,41.37,1.52,37.52,0.64,0
CT0059,PL765987,62.96,1.89,62.53,1.83,61.36,1.91,62.54,1.97,55.84,1.84,0
CT0185,PL873290,74.36,0.89,74.52,0.88,77.7,0.73,73.08,0.88,80.89,1.6,0
CT2334,PL516495,58.01,1.55,55.84,1.46,57.87,1.55,53.58,1.41,65.15,0.4,0
CT0489,PL749150,78.76,1.68,78.84,1.48,82.35,1.62,72.75,1.59,42.57,1.6,0
CT1161,PL287210,39.11,0.8,38.64,0.78,36.94,0.65,36.23,0.86,63.16,1.12,1
CT2726,PL334565,86.87,1.5,86.02,1.6,86.19,1.56,86.29,1.62,71.32,1.99,0
